URL,Number of outlinks
https://www.japscan.ws/,2369
https://www.japscan.ws/mangas/,208
https://www.japscan.ws/rss/,0
https://www.japscan.ws/lecture-en-ligne/one-piece/1041/,11
https://www.japscan.ws/lecture-en-ligne/pokemon-la-grande-aventure-or-et-argent/53/,11
https://www.japscan.ws/lecture-en-ligne/upotte/25.2/,11
https://www.japscan.ws/lecture-en-ligne/cangqiong-bang-zhi-shengling-ji/130/,11
https://www.japscan.ws/lecture-en-ligne/parasyte-reversi/32/,11
https://www.japscan.ws/lecture-en-ligne/ad-astra/81/,11
https://www.japscan.ws/lecture-en-ligne/yomi-no-tsugai/3/,11
https://www.japscan.ws/lecture-en-ligne/fire-brigade-of-flames/304/,11
https://www.japscan.ws/lecture-en-ligne/eden-s-zero/180/,11
https://www.japscan.ws/lecture-en-ligne/hajime-no-ippo/1372/,11
https://www.japscan.ws/lecture-en-ligne/loveless/96/,11
https://www.japscan.ws/lecture-en-ligne/kingdom/710/,11
https://www.japscan.ws/lecture-en-ligne/dr-stone/230/,11
https://www.japscan.ws/lecture-en-ligne/blue-lock/163/,11
https://www.japscan.ws/lecture-en-ligne/touhou-ibarakasen-wild-and-horned-hermit/49/,11
https://www.japscan.ws/lecture-en-ligne/tokyo-revengers/243/,11
https://www.japscan.ws/lecture-en-ligne/boruto/67/,11
https://www.japscan.ws/lecture-en-ligne/dragon-ball-super/81/,11
https://www.japscan.ws/lecture-en-ligne/my-hero-academia/344/,11
https://www.japscan.ws/lecture-en-ligne/jujutsu-kaisen/175/,11
https://www.japscan.ws/lecture-en-ligne/sakamoto-days/59/,11
https://www.japscan.ws/lecture-en-ligne/black-clover/324/,11
https://www.japscan.ws/lecture-en-ligne/mashle/97/,11
https://www.japscan.ws/lecture-en-ligne/id-invaded/9/,11
https://www.japscan.ws/manga/adam-l-ultime-robot/,150
https://www.japscan.ws/lecture-en-ligne/adam-l-ultime-robot/7/,11
https://www.japscan.ws/manga/one-piece/,846
https://www.japscan.ws/manga/heartbroken-chocolatier/,154
https://www.japscan.ws/lecture-en-ligne/heartbroken-chocolatier/10/,11
https://www.japscan.ws/manga/gals/,151
https://www.japscan.ws/lecture-en-ligne/gals/9/,11
https://www.japscan.ws/manga/i-m-the-only-wolf/,163
https://www.japscan.ws/lecture-en-ligne/i-m-the-only-wolf/13/,11
https://www.japscan.ws/manga/a-fleur-de-peau/,196
https://www.japscan.ws/lecture-en-ligne/a-fleur-de-peau/51/,11
https://www.japscan.ws/manga/angel-sanctuary-deluxe/,166
https://www.japscan.ws/lecture-en-ligne/angel-sanctuary-deluxe/25/,11
https://www.japscan.ws/manga/crown/,156
https://www.japscan.ws/lecture-en-ligne/crown/15/,11
https://www.japscan.ws/manga/contes-d-adolescence/,168
https://www.japscan.ws/lecture-en-ligne/contes-d-adolescence/21/,11
https://www.japscan.ws/manga/tokyo-underground/,174
https://www.japscan.ws/lecture-en-ligne/tokyo-underground/33/,11
https://www.japscan.ws/manga/venus-versus-virus/,173
https://www.japscan.ws/lecture-en-ligne/venus-versus-virus/31/,11
