Word,Count
the,1411
and,1157
to,1092
of,752
a,522
for,494
in,425
you,395
pomona,376
or,371
is,302
university,289
your,252
information,247
students,247
on,238
are,233
cal,216
poly,215
campus,213
at,210
with,203
all,188
be,184
that,182
our,177
will,177
we,169
california,166
student,155
by,153
college,149
as,146
not,146
state,143
an,139
have,130
may,129
polytechnic,118
health,116
this,114
services,109
rights,108
if,108
from,105
more,101
temple,96
ca,96
west,95
reserved,95
contact,95
email,94
3801,93
about,93
covid19,92
91768,92
it,91
avenue,91
programs,90
popular,89
searches,89
can,89
us,88
2022,87
faculty,86
office,83
safety,82
through,81
©2021,80
academic,79
their,76
who,76
community,76
any,74
visit,71
science,71
resources,70
building,69
cpp,69
staff,67
other,65
required,65
education,64
program,63
management,63
hours,62
use,61
center,60
employees,58
please,57
research,57
testing,55
do,54
business,54
personal,53
open,53
test,53
graduate,52
website,51
access,51
